PLANT_INFO_VC:low,CTRL_INFO_ModeSetting:low,PLANT_INFO_Mode:low,PLANT_INFO_SimulationTime:low,PLANT_INFO_VC:high,CTRL_INFO_ModeSetting:high,PLANT_INFO_Mode:high,PLANT_INFO_SimulationTime:high
0,0,2,0,709,0,0,8350
0,0,0,0,709,0,0,8351
1,0,0,0,709,0,0,8352
2,0,0,0,709,0,0,8353
3,0,0,0,709,0,0,8354
5,0,0,0,709,0,0,8355
6,0,0,0,709,0,0,8356
7,0,0,0,709,0,0,8357
8,0,0,0,709,0,0,8358
10,0,0,0,709,0,0,8359
11,0,0,0,709,0,0,8360
12,0,0,0,709,0,0,8361
13,0,0,0,709,0,0,8362
15,0,0,0,709,0,0,8363
16,0,0,0,709,0,0,8364
17,0,0,0,709,0,0,8365
19,0,0,0,709,0,0,8366
20,0,0,0,708,0,0,8367
21,0,0,0,708,0,0,8368
22,0,0,0,708,0,0,8369
24,0,0,0,708,0,0,8370
25,0,0,0,708,0,0,8371
26,0,0,0,708,0,0,8372
27,0,0,0,708,0,0,8373
29,0,0,0,708,0,0,8374
30,0,0,0,708,0,0,8375
31,0,0,0,708,0,0,8376
32,0,0,0,708,0,0,8377
34,0,0,0,708,0,0,8378
35,0,0,0,708,0,0,8379
36,0,0,0,708,0,0,8380
37,0,0,0,708,0,0,8381
39,0,0,0,708,0,0,8382
40,0,0,0,708,0,0,8383
41,0,0,0,708,0,0,8384
43,0,0,0,708,0,0,8385
44,0,0,0,708,0,0,0
